100000000,80,0
100000000,72,0
100000000,67,0
100000000,57,0
100000000,71,0
100000000,74,0
100000000,73,0
100000000,90,0
100000000,56,0
100000000,54,0
10000000,59,1
10000000,52,1
10000000,53,0
10000000,59,0
10000000,61,0
10000000,81,0
10000000,68,0
10000000,77,0
10000000,53,0
10000000,78,0
1000000,98,4
1000000,63,1
1000000,63,0
1000000,57,2
1000000,82,2
1000000,1000,27
1000000,97,1
1000000,66,0
1000000,94,2
1000000,54,1
100000,1000,276
100000,1000,253
100000,1000,258
100000,1000,257
100000,1000,263
100000,1000,253
100000,1000,273
100000,96,17
100000,1000,256
100000,1000,241
50000000,78,0
50000000,74,0
50000000,79,0
50000000,79,0
50000000,83,0
50000000,82,0
50000000,47,0
50000000,59,0
50000000,89,0
50000000,55,0
5000000,69,0
5000000,56,0
5000000,78,2
5000000,63,1
5000000,70,0
5000000,84,1
5000000,98,0
5000000,63,1
5000000,52,0
5000000,60,0
500000,1000,49
500000,1000,47
500000,99,2
500000,57,2
500000,111,7
500000,109,6
500000,78,4
500000,90,5
500000,83,0
500000,69,2
